Total without coverUrl: 144
  33⅓: Metallica | David Masciotra | ISBN: 9781628929300
  33⅓: Reign In Blood | D. X. Ferris | ISBN: 9780826429094
  A Better Brand: A Guide to Creating and Evolving Brands | Scott Lerman | ISBN: 9781440331435
  A Hologram for the King | Dave Eggers | ISBN: 9780241145852
  A Million Little Pieces | James Frey | ISBN: 9781565117785
  A Voyage to Arcturus | David  Lindsay | ISBN: 9780345232083
  ABC of Relativity | Bertrand Russell | ISBN: 9780045210022
  Absolution | Jeff VanderMeer | ISBN: 9780374616595
  African Folk Tales | Charlotte Leslau | ISBN: 9781299307513
  Ahab’s Return | Jeffrey Ford | ISBN: 9780062679000
  American Wood Type: 1828–1900: Notes on the Evolution of Decorated and Large Types | Rob Roy Kelly | ISBN: 9780978588175
  Art and Faith | Makoto Fujimura | ISBN: 9780300254143
  Bernini in Rome: Gian Lorenzo Bernini and the Baroque in Rome | Paul den Arend | ISBN: 9781514708712
  Big Hair and Plastic Grass: A Funky Ride Through Baseball and America in the Swinging '70s | Dan Epstein | ISBN: 9781250007247
  Boy in Darkness and Other Stories | Mervyn Peake | ISBN: 9780720613063
  Bug | Giancomo Sartori | ISBN: 9781632062741
  Children of Gebelawi | Naguib Mahfouz | ISBN: 9780894106546
  Coffee Drinks | Merlin Jobst | ISBN: 9781912983575
  Concerning the Spiritual in Art | Wassily Kandinsky | ISBN: 9780241384800
  Contradict: They Can’t All Be True | Andy Wrasman | ISBN: 9781490819297
  Counternarratives | John Keene | ISBN: 9780811225526
  Crandolin | Anna Tambour | ISBN: 9781907681196
  Culture Making: Recovering Our Creative Calling | Andy Crouch | ISBN: 9780830837557
  Culture, Language, and Personality | Edward Sapir | ISBN: 9780520011168
  Deeper Into Pictures: An Essay on Pictorial Representation | Flint Schier | ISBN: 9780521109406
  Dictionary Stories: Short Fictions and Other Findings | Jez Burrows | ISBN: 9780062652614
  Don’t Call it That | Eli Altman | ISBN: 9781734248302
  Down Below | Leonora Carrington | ISBN: 9781681370606
  Earwig | Brian Catling | ISBN: 9781473687103
